6.94058e-310,0.22,1.01,0,0,0.99,12.18,0
6.94057e-310,0,0,0.03,0.07,0.28,9.76,18
6.94057e-310,0,0,0.03,0.08,0.29,8.54,18
6.94054e-310,0,0,0.05,0.07,0.29,9.12,18
6.94054e-310,0,0,0.05,0.08,0.25,7.61,18
6.94057e-310,0.01,0.05,0.05,0.07,0.32,8.63,18
6.94057e-310,0.03,0.11,0.04,0.07,0.47,8.88,19
6.94057e-310,0.05,0.11,0.05,0.09,0.46,9.56,21
6.94057e-310,0.1,0.21,0.06,0.09,0.57,9.99,23
6.94057e-310,0.04,0.12,0.05,0.07,0.58,10.83,27
6.94057e-310,0.09,0.12,0.06,0.09,0.71,11.34,29
6.94057e-310,0.12,0.19,0.08,0.11,0.89,11.32,32
6.94057e-310,0.07,0.17,0.06,0.1,0.76,11.48,36
6.94057e-310,0.15,0.14,0.07,0.1,0.84,12.75,39
6.94057e-310,0.18,0.26,0.06,0.13,1.2,14.69,42
6.94057e-310,0.04,0.04,0.06,0.13,0.9,13.87,47
6.94045e-310,0.12,0.25,0.06,0.14,1.28,15.13,48
6.94045e-310,0.04,0.06,0.08,0.16,1.13,14.8,53
6.94045e-310,0.26,0.38,0.08,0.14,2,16.36,54
6.94054e-310,0.18,0.23,0.09,0.18,2.01,15.57,60
6.94045e-310,0.23,0.44,0.06,0.14,2.36,16.53,65
6.94045e-310,0.02,0.02,0.09,0.24,1.7,13.6,73
6.94045e-310,0.2,0.32,0.1,0.2,2.21,15.6,74
6.94045e-310,0.23,0.34,0.1,0.23,2.55,16.31,81
6.94045e-310,0.14,0.28,0.09,0.26,2.62,14.89,88
6.94045e-310,0.24,0.37,0.1,0.22,3.04,17.98,93
6.94045e-310,0.17,0.29,0.13,0.31,2.78,16.28,100
6.94045e-310,0.14,0.18,0.09,0.22,2.66,14.99,105
6.94045e-310,0.18,0.18,0.11,0.31,2.77,15.34,109
6.94045e-310,0.23,0.37,0.1,0.24,3.47,18.34,113
6.94045e-310,0.27,0.74,0.12,0.29,4.07,19.29,120
6.94045e-310,0.22,0.27,0.1,0.26,4.48,19.52,128
6.94045e-310,0.29,0.63,0.1,0.28,4.01,19.83,135
6.94045e-310,0.29,0.44,0.13,0.3,4.92,20.19,141
6.94045e-310,0.13,0.23,0.1,0.27,3.82,17.86,150
6.94045e-310,0.1,0.18,0.1,0.3,3.66,19.21,153
6.94045e-310,0.36,0.79,0.13,0.3,6.09,21.39,156
6.94045e-310,0.2,0.27,0.12,0.33,4.94,19.9,166
6.94046e-310,0.2,0.3,0.14,0.4,5.24,20.46,171
6.94046e-310,0.3,0.37,0.13,0.35,6.18,24.16,177
6.94057e-310,0.18,0.48,0.12,0.34,4.92,22.61,185
6.94057e-310,0.34,0.45,0.13,0.36,7.26,23.93,188
6.94046e-310,0.14,0.25,0.12,0.46,6.29,21.07,198
6.94054e-310,0.38,0.82,0.14,0.42,7.51,24.87,203
6.94054e-310,0.22,0.53,0.13,0.41,6.27,24.53,212
6.94046e-310,0.1,0.35,0.12,0.4,6.75,23.47,217
6.94045e-310,0.23,0.37,0.12,0.38,7.57,25.21,222
6.94046e-310,0.16,0.3,0.12,0.5,7.43,24.62,229
6.94046e-310,0.17,0.22,0.14,0.44,6.86,23.71,235
6.94045e-310,0.13,0.32,0.12,0.54,7.85,26.58,239
6.94046e-310,0.36,0.88,0.13,0.4,8.78,28.61,245
6.94045e-310,0.15,0.5,0.12,0.41,7.55,25.64,254
6.94045e-310,0.06,0.11,0.15,0.48,7.03,24.34,259
6.94045e-310,0.13,0.16,0.12,0.42,8.05,23.98,262
6.94045e-310,0.31,0.98,0.12,0.46,9.24,27.28,267
6.94045e-310,0.16,0.16,0.14,0.57,8.35,25.06,275
6.94045e-310,0.16,0.71,0.15,0.46,9.51,30.93,279
6.94045e-310,0.12,0.46,0.15,0.61,7.96,29.13,285
6.94045e-310,0.11,0.1,0.14,1.29,8.47,28.95,289
6.94045e-310,0.14,0.25,0.15,0.46,9.01,28.08,292
6.94045e-310,0.19,0.32,0.17,0.53,9.18,28.65,298
6.94045e-310,0.18,0.24,0.15,0.49,9.34,29.94,304
6.94045e-310,0.09,0.27,0.16,0.56,9.57,31.74,308
6.94045e-310,0.17,0.34,0.19,0.67,10.03,33.24,313
6.94045e-310,0.22,0.31,0.14,0.52,10.65,34.01,319
6.94045e-310,0.17,0.19,0.16,0.57,9.55,32.86,326
6.94045e-310,0.27,0.72,0.18,0.61,11.74,34.86,330
6.94045e-310,0.45,0.7,0.16,0.57,12.87,38.85,338
6.94045e-310,0.25,0.34,0.18,0.66,12.32,37.22,348
